experiment,fine_tune_layers,fine_tune_lr,dropout,epochs_run,best_val_auc,best_val_accuracy,best_val_recall,best_val_precision,training_seconds,trainable_parameters
A - Day2 Control,30,1e-05,0.3,7,0.9420243501663208,0.8581052422523499,0.8139737844467163,0.9175475835800171,963.261717699992,1512001
C - Deeper Fine-Tuning,40,5e-06,0.3,7,0.9405180215835571,0.854736864566803,0.7807860374450684,0.9235033392906189,1224.3928914999997,1664641
B - Lower LR,30,5e-06,0.3,7,0.940091609954834,0.8576841950416565,0.807860255241394,0.9103521704673767,1118.0703217000118,1512001
